Intervention Group,"Study 
(year)",Lab,Lab Code,n,"Subject 
demographics",Age,"Nutritional 
intervention",Exercised?,Exercise code,Exercise Intervention,"Total 
Leucine (g)",Measurement Time (min),Measurement,Raw Data,SEM,Fold Change from Baseline,SEM transformed,Drastic Change?,
1,Glynn (2010),Rasmussen,1,7,Young participants not engaged in any regular exercise training,32 (2),Ingestion of 10 g EAA representative of high-quality protein,,0,None,1.85,0,Change from baseline,,,1,,,*
1,,Rasmussen,1,,,,,,0,,1.85,60,,0.95,0.14,0.95,0.14,,
1,,Rasmussen,1,,,,,,0,,1.85,120,,1.21,0.27,1.21,0.27,,
1,,Rasmussen,1,,,,,,0,,1.85,180,,0.79,0.13,0.79,0.13,,
2,Glynn (2010),Rasmussen,1,7,Young participants not engaged in any regular exercise training,29 (2),Ingestion of 10 g EAA enriched with leucine,,0,None,3.5,0,Change from baseline,,,1,,,*
2,,Rasmussen,1,,,,,,0,,3.5,60,,1.38,0.13,1.38,0.13,,
2,,Rasmussen,1,,,,,,0,,3.5,120,,1.17,0.23,1.17,0.23,,
2,,Rasmussen,1,,,,,,0,,3.5,180,,0.87,0.15,0.87,0.15,,
4,Mitchell (2014),Atherton,2,8,Healthy young men,19.7 (0.5),Ingestion of 15 g of mixed EAA,,0,None,3.59,0,Raw data,1.4,0.16,1,0.14,,
4,,Atherton,2,,,,,,0,,3.59,90,,1.6,0.34,1.142857143,0.29,,
4,,Atherton,2,,,,,,0,,3.59,180,,1.4,0.24,1,0.20,,
4,,Atherton,2,,,,,,0,,3.59,240,,1.36,0.21,0.971428571,0.18,,
5,Moore (2011),Moore,3,7,Healthy males,26 (3),Ingestion of 25 g whey protein ,,0,None,2.6,0,Raw data,0.17,0.02,1,0.05,,
5,,Moore,3,,,,,,0,,2.6,60,,0.26,0.04,1.529411765,0.10,,
5,,Moore,3,,,,,,0,,2.6,180,,0.17,0.03,1,0.07,,
5,,Moore,3,,,,,,0,,2.6,300,,0.16,0.03,0.941176471,0.07,,
6,Moore (2011),Moore,3,7,Healthy males,26 (3),Ingestion of 25 g whey protein ,Ex,1,unilateral leg press (5 sets x 8-10 reps w/ 2 min rest),2.6,0,Raw data,0.17,0.02,1,0.05,,
6,,Moore,3,,,,,Ex,1,,2.6,60,,0.22,0.03,1.294117647,0.07,,
6,,Moore,3,,,,,Ex,1,,2.6,180,,0.17,0.02,1,0.05,,
6,,Moore,3,,,,,Ex,1,,2.6,300,,0.16,0.02,0.941176471,0.05,,
7,Fujita (2007),Rasmussen,1,7,Young male subjects,25 (2),Ingestion of 19.4 g EAA,,0,,6.8,0,Raw data,2.82,0.31,1,0.18,,*
7,,Rasmussen,1,,,,,,0,,6.8,60,,9.94,2.36,3.524822695,1.41,,
11,Wilkinson (2013),Atherton,2,7,Healthy young men,21 (0.3),Ingestion of 3.42 g leucine,,0,,3.42,0,Raw data,1,0.07,1,0.07,,
11,,Atherton,2,,,,,,0,,3.42,30,,1.36,0.13,1.36,0.13,,
11,,Atherton,2,,,,,,0,,3.42,90,,1.02,0.08,1.02,0.08,,
11,,Atherton,2,,,,,,0,,3.42,150,,0.9,0.03,0.9,0.03,,
12,Coffey (2011),"Moore, Phillips",4,8,Male subjects,21.4 (2.6),"30 minutes before exercise, ingested 24 g whey protein + 4.8 g leucine",Ex,1,"Max sprint cycles: 10 x 6s, 54s rest",7.3,0,Fold of basal,1.03,0.57,1,0.56,,
12,,"Moore, Phillips",4,,,,,Ex,1,,7.3,60,,5.36,1.19,5.203883495,1.17,,
12,,"Moore, Phillips",4,,,,,Ex,1,,7.3,285,,1.81,0.73,1.757281553,0.72,,
13,Areta (2014),Moore,3,16,"Young, healthy, resistance-trained subjects",27.5 (4.5),Ingestion of 15 g of protein following resistance training and a 3-h energy deficit,Ex,1,Leg Press: 6 sets x 8 reps @ 80% 1RM,1.58,0,Raw data,2.1,,1,,,
13,,Moore,3,,,,,Ex,1,,1.58,60,,2.5,,1.19047619,,,
13,,Moore,3,,,,,Ex,1,,1.58,240,,2.1,,1,,,
14,Areta (2014),Moore,3,16,"Young, healthy, resistance-trained subjects",27.5 (4.5),Ingestion of 30 g of protein following resistance training and a 3-h energy deficit,Ex,1,Leg Press: 6 sets x 8 reps @ 80% 1RM,3.15,0,Raw data,2.1,,1,,,
14,,Moore,3,,,,,Ex,1,,3.15,60,,2.5,,1.19047619,,,
14,,Moore,3,,,,,Ex,1,,3.15,240,,2.2,,1.047619048,,,
15,Burke (2012),"Moore, Phillips",4,12,Resistance trained males,27 (1.3),Ingestion of 25g whey protein + 5g leucine 45 min before exercise,Ex,1,Leg extension: 10 sets x 8-10 reps @80% 1RM,7.5,0,Raw data,0.98,,1,,,*
15,,"Moore, Phillips",4,,,,,Ex,1,,7.5,150,,3.28,,3.346938776,,,
15,,"Moore, Phillips",4,,,,,Ex,1,,7.5,390,,2.42,,2.469387755,,,
